file,fs_Hz,duration_s,second_event_peak_ms,second_region_start_ms,second_region_end_ms,tail_peak_ms,tdoa_window_start_ms,tdoa_window_end_ms,tdoa_raw_ms_CH2_minus_CH1,first_event_tdoa_ms_CH2_minus_CH1,tdoa_corrected_ms,best_corr,energy_CH1_over_CH2_dB,judgement_raw,judgement_corrected
trigger_0001_20260511_224328_191609.wav,96000,0.615,201.23958333333334,182.94791666666666,218.54166666666666,210.82291666666666,207.82291666666666,211.02083333333331,0.6145833333333333,-0.3989468040479525,1.0135301373812857,0.45347738567685547,6.7438136198063505,left_CH1_early,left_CH1_early
trigger_0002_20260511_224329_332408.wav,96000,0.615,187.5625,170.91666666666666,206.29166666666669,201.05208333333331,198.05208333333331,201.25,0.2771614142834729,-0.27484063329306585,0.5520020475765388,0.2969978263173746,9.432834481408602,left_CH1_early,left_CH1_early
trigger_0003_20260511_224330_917328.wav,96000,0.615,197.13541666666669,183.13541666666666,206.90625,200.73958333333334,197.73958333333334,200.9375,0.6145833333333333,-0.09853501608789343,0.7131183494212266,0.6322613794477926,1.2768959449686348,left_CH1_early,left_CH1_early
trigger_0004_20260511_224332_138788.wav,96000,0.615,207.30208333333334,192.35416666666666,217.125,209.52083333333331,206.52083333333331,209.71875,0.435579494897614,-0.3981778247097423,0.8337573196073562,0.6866769560055792,0.5132759519886255,left_CH1_early,left_CH1_early
trigger_0005_20260511_224333_626653.wav,96000,0.615,215.28125,207.28125,223.28125,216.51041666666669,213.51041666666669,216.70833333333334,0.3297278511073247,-0.1085762942164397,0.43830414532376444,0.6361267676409816,-2.7291721022495965,left_CH1_early,left_CH1_early
trigger_0006_20260511_224334_699558.wav,96000,0.615,201.08333333333334,196.52083333333334,206.4375,201.625,198.625,201.82291666666666,0.393075487657066,-0.31467780942792767,0.7077532970849937,0.9046261250966344,-2.664235926131915,left_CH1_early,left_CH1_early
trigger_0007_20260511_224336_117306.wav,96000,0.615,216.0625,211.38541666666666,221.02083333333334,217.63541666666666,214.63541666666666,217.83333333333331,0.2321083425676035,-0.3825349926714797,0.6146433352390832,0.6349488529971269,-1.3237135617077618,left_CH1_early,left_CH1_early
trigger_0008_20260511_224337_144628.wav,96000,0.615,212.75,208.4375,217.42708333333331,214.88541666666666,211.88541666666666,215.08333333333331,0.37830316357244875,-0.3377214424581051,0.7160246060305538,0.5929701772272817,-2.44994823727433,left_CH1_early,left_CH1_early
trigger_0009_20260511_224338_539273.wav,96000,0.615,216.57291666666666,216.16666666666669,227.0625,218.44791666666666,215.44791666666666,218.64583333333334,0.2117247144380343,-0.31712497372934834,0.5288496881673826,0.7298312461402992,0.8997419799638389,left_CH1_early,left_CH1_early
trigger_0010_20260511_224339_657149.wav,96000,0.615,216.01041666666669,211.46875,221.02083333333334,217.88541666666666,214.88541666666666,218.08333333333331,0.3527705499742614,-0.3141266181605189,0.6668971681347803,0.6641354936914451,2.1953420309987663,left_CH1_early,left_CH1_early
trigger_0011_20260511_224341_130174.wav,96000,0.615,229.36458333333334,221.36458333333334,237.36458333333331,230.875,227.875,231.07291666666666,0.019297301187016128,-0.24187231374770507,0.2611696149347212,0.8190604191054884,0.9307348740769454,near_center,left_CH1_early
trigger_0012_20260511_224342_309323.wav,96000,0.615,216.125,208.125,224.125,216.13541666666666,213.13541666666666,216.33333333333331,0.048369867293143146,0.1212116570577089,-0.07284178976456575,0.9000418790979535,3.0586952386617696,left_CH1_early,right_CH2_early
trigger_0013_20260511_224343_808879.wav,96000,0.615,244.27083333333331,241.58333333333334,260.78125,245.71875,242.71875,245.91666666666669,-0.11942205754735519,0.10597116810564602,-0.2253932256530012,0.7000363035673904,-1.4080406618331145,right_CH2_early,right_CH2_early
trigger_0014_20260511_224344_934084.wav,96000,0.615,227.92708333333334,225.36458333333334,233.60416666666666,229.3125,226.3125,229.51041666666666,-0.22661794703378924,0.1335162709556983,-0.3601342179894875,0.7003491258070045,1.1752555612324973,right_CH2_early,right_CH2_early
trigger_0015_20260511_224346_435126.wav,96000,0.615,218.84375,210.84375,226.84375,220.5,217.5,220.69791666666666,-0.25090165084380717,0.13112610222667082,-0.382027753070478,0.7571036197672806,2.0272796411825924,right_CH2_early,right_CH2_early
trigger_0016_20260511_224347_652887.wav,96000,0.615,221.10416666666666,210.98958333333334,229.16666666666666,222.64583333333331,219.64583333333334,222.84375,-0.34891826383272173,0.10752194988308891,-0.45644021371581067,0.7752462668341438,0.03263361862482049,right_CH2_early,right_CH2_early
trigger_0017_20260511_224349_235800.wav,96000,0.615,228.17708333333334,207.97916666666666,239.94791666666669,229.77083333333334,226.77083333333334,229.96875,-0.3178593559697301,-0.17894384824414214,-0.13891550772558794,0.8380995920694317,3.105262918858957,right_CH2_early,right_CH2_early
trigger_0018_20260511_224350_353727.wav,96000,0.615,198.05208333333331,193.44791666666666,219.48958333333331,199.65625,196.65625,199.85416666666666,-0.36617015979017964,-0.12796940366387594,-0.2382007561263037,0.6286021379824454,1.6628699622600418,right_CH2_early,right_CH2_early
trigger_0019_20260511_224351_922679.wav,96000,0.615,213.52083333333331,208.375,223.25,216.38541666666666,213.38541666666666,216.58333333333331,0.585548697496655,-0.15060438552732677,0.7361530830239817,0.27915826722953235,6.900110538548951,left_CH1_early,left_CH1_early
trigger_0020_20260511_224353_152214.wav,96000,0.615,213.83333333333331,210.97916666666666,221.625,215.38541666666666,212.38541666666666,215.58333333333331,-0.45737131241767975,-0.06388911118215239,-0.39348220123552735,0.610729998699926,6.74149640218748,right_CH2_early,right_CH2_early
