timestamp_iso,elapsed_sec,z_g
2026-05-04T22:03:58.469,0.000764,0.0176
2026-05-04T22:03:58.480,0.011383,0.0088
2026-05-04T22:03:58.480,0.011771,-0.0020
2026-05-04T22:03:58.480,0.012006,20.0000
2026-05-04T22:03:58.481,0.012243,0.0069
2026-05-04T22:03:58.481,0.012522,-0.0010
2026-05-04T22:03:58.481,0.012835,-0.0029
2026-05-04T22:03:58.481,0.013169,0.0010
2026-05-04T22:03:58.482,0.013523,0.0000
2026-05-04T22:03:58.482,0.013738,0.0059
2026-05-04T22:03:58.482,0.013997,0.0078
2026-05-04T22:03:58.482,0.014198,0.0049
2026-05-04T22:03:58.483,0.014336,-0.0010
2026-05-04T22:03:58.483,0.014721,0.0029
2026-05-04T22:03:58.483,0.014833,0.0010
2026-05-04T22:03:58.483,0.014917,0.0088
2026-05-04T22:03:58.483,0.014997,0.0127
2026-05-04T22:03:58.483,0.015070,0.0000
2026-05-04T22:03:58.483,0.015140,0.0039
2026-05-04T22:03:58.483,0.015210,0.0059
2026-05-04T22:03:58.484,0.015281,0.0010
2026-05-04T22:03:58.484,0.015351,0.0039
2026-05-04T22:03:58.484,0.015427,-0.0020
2026-05-04T22:03:58.484,0.015498,0.0039
2026-05-04T22:03:58.484,0.015666,-0.0020
2026-05-04T22:03:58.484,0.015769,-0.0010
2026-05-04T22:03:58.484,0.015893,0.0049
2026-05-04T22:03:58.485,0.016353,-0.0039
2026-05-04T22:03:58.485,0.017140,-0.0069
2026-05-04T22:03:58.486,0.017442,0.0029
2026-05-04T22:03:58.486,0.017650,0.0010
2026-05-04T22:03:58.490,0.021541,0.0118
2026-05-04T22:03:58.490,0.021925,-0.0020
2026-05-04T22:03:58.490,0.022141,0.0010
2026-05-04T22:03:58.491,0.022258,0.0010
2026-05-04T22:03:58.491,0.022457,0.0078
2026-05-04T22:03:58.491,0.022614,0.0108
2026-05-04T22:03:58.491,0.022739,0.0029
2026-05-04T22:03:58.491,0.023036,0.0049
2026-05-04T22:03:58.492,0.023275,-0.0020
2026-05-04T22:03:58.492,0.023585,-0.0029
2026-05-04T22:03:58.492,0.024036,0.0029
2026-05-04T22:03:58.493,0.024691,0.0039
2026-05-04T22:03:58.493,0.024946,-0.0029
2026-05-04T22:03:58.493,0.025212,0.0000
2026-05-04T22:03:58.494,0.025562,0.0049
2026-05-04T22:03:58.494,0.025723,0.0020
2026-05-04T22:03:58.494,0.025891,0.0000
2026-05-04T22:03:58.494,0.026191,-0.0029
2026-05-04T22:03:58.495,0.026432,0.0049
2026-05-04T22:03:58.495,0.026989,0.0127
2026-05-04T22:03:58.496,0.027237,-0.0069
2026-05-04T22:03:58.496,0.027488,-0.0069
2026-05-04T22:03:58.496,0.027755,0.0069
2026-05-04T22:03:58.496,0.027934,-0.0039
2026-05-04T22:03:58.496,0.028084,0.0059
2026-05-04T22:03:58.497,0.028882,0.0098
2026-05-04T22:03:58.498,0.029381,0.0108
2026-05-04T22:03:58.498,0.029630,0.0196
2026-05-04T22:03:58.498,0.029838,-0.0049
2026-05-04T22:03:58.498,0.030151,-0.0010
2026-05-04T22:03:58.499,0.030402,-0.0059
2026-05-04T22:03:58.499,0.030601,0.0000
2026-05-04T22:03:58.499,0.030857,-0.0029
2026-05-04T22:03:58.499,0.030994,0.0010
2026-05-04T22:03:58.499,0.031193,-0.0049
2026-05-04T22:03:58.500,0.031505,0.0118
2026-05-04T22:03:58.500,0.031734,0.0020
2026-05-04T22:03:58.500,0.032113,0.0176
2026-05-04T22:03:58.501,0.032350,0.0176
2026-05-04T22:03:58.501,0.032608,0.0010
